"Name","PipeSize","Schedule","G","H","M","Approx. Wt.","POD","PThk","PID"
"406-005S","1/2""",40,"27/32 in","1+23/32 in","1+3/16 in",".08 lb","0.840 in","0.840 in","0.602 in"
"406-007S","3/4""",40,"1+1/32 in","2+1/32 in","1+13/32 in",".12 lb","1.050 in","1.050 in","0.804 in"
"406-010S","1""",40,"1+5/16 in","2+7/16 in","1+23/32 in",".20 lb","1.315 in","1.315 in","1.029 in"
"406-012S","1-1/4""",40,"1+9/16 in","2+13/16 in","2+3/32 in",".30 lb","1.660 in","1.660 in","1.360 in"
"406-015S","1-1/2""",40,"1+3/4 in","3+5/32 in","2+11/32 in",".36 lb","1.900 in","1.900 in","1.590 in"
"406-020S","2""",40,"2+9/32 in","3+11/16 in","2+3/4 in",".46 lb","2.375 in","2.375 in","2.047 in"
"406-025S","2-1/2""",40,"3+3/16 in","4+31/32 in","3+11/32 in",".88 lb","2.875 in","2.875 in","2.445 in"
"406-030S","3""",40,"3+1/32 in","4+15/16 in","4 in","1.25 lb","3.500 in","3.500 in","3.042 in"
"406-025LSF","2-1/2""",40,"5+7/16 in","7+7/16 in","3+1/4 in","1.26 lb","2.875 in","2.875 in","2.445 in"
"406-030LSF","3""",40,"6+3/8 in","8+5/8 in","3+15/16 in","1.87 lb","3.500 in","3.500 in","3.042 in"
"406-040LSF","4""",40,"8+3/8 in","10+5/8 in","5 in","2.69 lb","4.500 in","4.500 in","3.998 in"
"406-060LSF","6""",40,"13 in","16+1/4 in","7+3/16 in","6.92 lb","6.625 in","6.625 in","6.031 in"
"406-080LSF","8""",40,"22+7/16 in","26+11/16 in","9+1/4 in","19.43 lb","8.625 in","8.625 in","7.942 in"
"806-005S","1/2""",80,"27/32 in","1+23/32 in","1+3/16 in",".08 lb","0.840 in","0.840 in","0.526 in"
"806-007S","3/4""",80,"1+1/32 in","2+1/32 in","1+13/32 in",".12 lb","1.050 in","1.050 in","0.722 in"
"806-010S","1""",80,"1+5/16 in","2+7/16 in","1+23/32 in",".20 lb","1.315 in","1.315 in","0.936 in"
"806-012S","1-1/4""",80,"1+9/16 in","2+13/16 in","2+3/32 in",".30 lb","1.660 in","1.660 in","1.255 in"
"806-015S","1-1/2""",80,"1+3/4 in","3+1/8 in","2+11/32 in",".39 lb","1.900 in","1.900 in","1.476 in"
"806-020S","2""",80,"2+5/16 in","3+13/16 in","2+7/8 in",".64 lb","2.375 in","2.375 in","1.913 in"
"806-005LSF","1/2""",80,"1+7/8 in","2+3/4 in","1+1/8 in",".13 lb","0.840 in","0.840 in","0.526 in"
"806-007LSF","3/4""",80,"2+7/16 in","3+7/16 in","1+7/16 in",".22 lb","1.050 in","1.050 in","0.722 in"
"806-010LSF","1""",80,"2+7/8 in","4 in","1+11/16 in",".33 lb","1.315 in","1.315 in","0.936 in"
"806-012LSF","1-1/4""",80,"3+5/8 in","4+7/8 in","2+1/16 in",".50 lb","1.660 in","1.660 in","1.255 in"
"806-015LSF","1-1/2""",80,"4+1/8 in","5+1/2 in","2+5/16 in",".60 lb","1.900 in","1.900 in","1.476 in"
"806-020LSF","2""",80,"4+3/4 in","6+5/16 in","2+13/16 in",".90 lb","2.375 in","2.375 in","1.913 in"
"806-025LSF","2-1/2""",80,"5+3/4 in","7+3/4 in","3+7/16 in","1.65 lb","2.875 in","2.875 in","2.290 in"
"806-030LSF","3""",80,"7 in","9 in","4+1/8 in","2.36 lb","3.500 in","3.500 in","2.864 in"
"806-040LSF","4""",80,"9 in","11+1/4 in","5+3/16 in","3.96 lb","4.500 in","4.500 in","3.786 in"
"806-060LSF","6""",80,"13 in","16+1/4 in","7+1/2 in","12.84 lb","6.625 in","6.625 in","5.709 in"
"806-080LSF","8""",80,"23+1/2 in","27+3/4 in","9+5/8 in","31.58 lb","8.625 in","8.625 in","7.565 in"
